"Source:","C:\Users\Cyril\OneDrive - Gymnasium Lerbermatt\MA\SAP-Extended\SAP-Extended\SAP-Extended.kicad_sch"
"Date:","19.07.2023 22:45:41"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","399"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"R51, R61, R62, R66","4","1K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R63","1","1M","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R64, R65","2","1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R157, R158","2","5.1K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R160, R161, R162","3","470","R","","Resistor","",""
"RV1","1","1M","POT-8bit-computer-rescue","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","","",""
"SW1, SW5","2","SW_DIP_x01","SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","",""
"SW2, SW15","2","SW_Push","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins","",""
"SW3","1","SW_Push","SW_Push-8bit-computer-rescue","Button_Switch_THT:SW_PUSH_6mm_H5mm","","",""
"SW4","1","SW_SPDT","SW_SPDT-8bit-computer-rescue","Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q","","",""
"SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13","8","SW","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins","",""
"SW14","1","700SP7B20M6QE","700SP7B20M6QE","Footprints:E-Switch-700SP7B20M6QE-0-0-MFG","700SP7B20M6QE","",""
